Date,Close
1/3/2023 16:00:00,89.7
1/4/2023 16:00:00,88.71
1/5/2023 16:00:00,86.77
1/6/2023 16:00:00,88.16
1/9/2023 16:00:00,88.8
1/10/2023 16:00:00,89.24
1/11/2023 16:00:00,92.26
1/12/2023 16:00:00,91.91
1/13/2023 16:00:00,92.8
1/17/2023 16:00:00,92.16
1/18/2023 16:00:00,91.78
1/19/2023 16:00:00,93.91
1/20/2023 16:00:00,99.28
1/23/2023 16:00:00,101.21
1/24/2023 16:00:00,99.21
1/25/2023 16:00:00,96.73
1/26/2023 16:00:00,99.16
1/27/2023 16:00:00,100.71
1/30/2023 16:00:00,97.95
1/31/2023 16:00:00,99.87
2/1/2023 16:00:00,101.43
2/2/2023 16:00:00,108.8
2/3/2023 16:00:00,105.22
2/6/2023 16:00:00,103.47
2/7/2023 16:00:00,108.04
2/8/2023 16:00:00,100
2/9/2023 16:00:00,95.46
2/10/2023 16:00:00,94.86
2/13/2023 16:00:00,95
2/14/2023 16:00:00,94.95
2/15/2023 16:00:00,97.1
2/16/2023 16:00:00,95.78
2/17/2023 16:00:00,94.59
2/21/2023 16:00:00,92.05
2/22/2023 16:00:00,91.8
2/23/2023 16:00:00,91.07
2/24/2023 16:00:00,89.35
2/27/2023 16:00:00,90.1
2/28/2023 16:00:00,90.3
3/1/2023 16:00:00,90.51
3/2/2023 16:00:00,92.31
3/3/2023 16:00:00,94.02
3/6/2023 16:00:00,95.58
3/7/2023 16:00:00,94.17
3/8/2023 16:00:00,94.65
3/9/2023 16:00:00,92.66
3/10/2023 16:00:00,91.01
3/13/2023 16:00:00,91.66
3/14/2023 16:00:00,94.25
3/15/2023 16:00:00,96.55
3/16/2023 16:00:00,101.07
3/17/2023 16:00:00,102.46
3/20/2023 16:00:00,101.93
3/21/2023 16:00:00,105.84
3/22/2023 16:00:00,104.22
3/23/2023 16:00:00,106.26
3/24/2023 16:00:00,106.06
3/27/2023 16:00:00,103.06
3/28/2023 16:00:00,101.36
3/29/2023 16:00:00,101.9
3/30/2023 16:00:00,101.32
3/31/2023 16:00:00,104
4/3/2023 16:00:00,104.91
4/4/2023 16:00:00,105.12
4/5/2023 16:00:00,104.95
4/6/2023 16:00:00,108.9
4/10/2023 16:00:00,106.95
4/11/2023 16:00:00,106.12
4/12/2023 16:00:00,105.22
4/13/2023 16:00:00,108.19
4/14/2023 16:00:00,109.46
4/17/2023 16:00:00,106.42
4/18/2023 16:00:00,105.12
4/19/2023 16:00:00,105.02
4/20/2023 16:00:00,105.9
4/21/2023 16:00:00,105.91
4/24/2023 16:00:00,106.78
4/25/2023 16:00:00,104.61
4/26/2023 16:00:00,104.45
4/27/2023 16:00:00,108.37
4/28/2023 16:00:00,108.22
5/1/2023 16:00:00,107.71
5/2/2023 16:00:00,105.98
5/3/2023 16:00:00,106.12
5/4/2023 16:00:00,105.21
5/5/2023 16:00:00,106.22
5/8/2023 16:00:00,108.24
5/9/2023 16:00:00,107.94
5/10/2023 16:00:00,112.28
5/11/2023 16:00:00,116.9
5/12/2023 16:00:00,117.92
5/15/2023 16:00:00,116.96
5/16/2023 16:00:00,120.09
5/17/2023 16:00:00,121.48
5/18/2023 16:00:00,123.52
5/19/2023 16:00:00,123.25
5/22/2023 16:00:00,125.87
5/23/2023 16:00:00,123.29
5/24/2023 16:00:00,121.64
5/25/2023 16:00:00,124.35
5/26/2023 16:00:00,125.43
5/30/2023 16:00:00,124.64
5/31/2023 16:00:00,123.37
6/1/2023 16:00:00,124.37
6/2/2023 16:00:00,125.23
6/5/2023 16:00:00,126.63
6/6/2023 16:00:00,127.91
6/7/2023 16:00:00,122.94
6/8/2023 16:00:00,122.67
6/9/2023 16:00:00,122.87
6/12/2023 16:00:00,124.35
6/13/2023 16:00:00,124.43
6/14/2023 16:00:00,124.38
6/15/2023 16:00:00,125.79
6/16/2023 16:00:00,124.06
6/20/2023 16:00:00,123.85
6/21/2023 16:00:00,121.26
6/22/2023 16:00:00,123.87
6/23/2023 16:00:00,123.02
6/26/2023 16:00:00,119.09
6/27/2023 16:00:00,119.01
6/28/2023 16:00:00,121.08
6/29/2023 16:00:00,120.01
6/30/2023 16:00:00,120.97
7/3/2023 13:05:00,120.56
7/5/2023 16:00:00,122.63
7/6/2023 16:00:00,120.93
7/7/2023 16:00:00,120.14
7/10/2023 16:00:00,116.87
7/11/2023 16:00:00,117.71
7/12/2023 16:00:00,119.62
7/13/2023 16:00:00,124.83
7/14/2023 16:00:00,125.7
7/17/2023 16:00:00,125.06
7/18/2023 16:00:00,124.08
7/19/2023 16:00:00,122.78
7/20/2023 16:00:00,119.53
7/21/2023 16:00:00,120.31
7/24/2023 16:00:00,121.88
7/25/2023 16:00:00,122.79
7/26/2023 16:00:00,129.66
7/27/2023 16:00:00,129.87
7/28/2023 16:00:00,133.01
7/31/2023 16:00:00,133.11
8/1/2023 16:00:00,131.89
8/2/2023 16:00:00,128.64
8/3/2023 16:00:00,128.77
8/4/2023 16:00:00,128.54
8/7/2023 16:00:00,131.94
8/8/2023 16:00:00,131.84
8/9/2023 16:00:00,130.15
8/10/2023 16:00:00,130.21
8/11/2023 16:00:00,130.17
8/14/2023 16:00:00,131.83
8/15/2023 16:00:00,130.27
8/16/2023 16:00:00,129.11
8/17/2023 16:00:00,130.46
8/18/2023 16:00:00,128.11
8/21/2023 16:00:00,128.93
8/22/2023 16:00:00,129.69
8/23/2023 16:00:00,133.21
8/24/2023 16:00:00,130.42
8/25/2023 16:00:00,130.69
8/28/2023 16:00:00,131.79
8/29/2023 16:00:00,135.49
8/30/2023 16:00:00,136.93
8/31/2023 16:00:00,137.35
9/1/2023 16:00:00,136.8
9/5/2023 16:00:00,136.71
9/6/2023 16:00:00,135.37
9/7/2023 16:00:00,136.2
9/8/2023 16:00:00,137.2
9/11/2023 16:00:00,137.74
9/12/2023 16:00:00,136.07
9/13/2023 16:00:00,137.5
9/14/2023 16:00:00,138.99
9/15/2023 16:00:00,138.3
9/18/2023 16:00:00,138.96
9/19/2023 16:00:00,138.83
9/20/2023 16:00:00,134.59
9/21/2023 16:00:00,131.36
9/22/2023 16:00:00,131.25
9/25/2023 16:00:00,132.17
9/26/2023 16:00:00,129.45
9/27/2023 16:00:00,131.46
9/28/2023 16:00:00,133.13
9/29/2023 16:00:00,131.85
10/2/2023 16:00:00,135.17
10/3/2023 16:00:00,133.3
10/4/2023 16:00:00,136.27
10/5/2023 16:00:00,135.99
10/6/2023 16:00:00,138.73
10/9/2023 16:00:00,139.5
10/10/2023 16:00:00,139.2
10/11/2023 16:00:00,141.7
10/12/2023 16:00:00,140.29
10/13/2023 16:00:00,138.58
10/16/2023 16:00:00,140.49
10/17/2023 16:00:00,140.99
10/18/2023 16:00:00,139.28
10/19/2023 16:00:00,138.98
10/20/2023 16:00:00,136.74
10/23/2023 16:00:00,137.9
10/24/2023 16:00:00,140.12
10/25/2023 16:00:00,126.67
10/26/2023 16:00:00,123.44
10/27/2023 16:00:00,123.4
10/30/2023 16:00:00,125.75
10/31/2023 16:00:00,125.3
11/1/2023 16:00:00,127.57
11/2/2023 16:00:00,128.58
11/3/2023 16:00:00,130.37
11/6/2023 16:00:00,131.45
11/7/2023 16:00:00,132.4
11/8/2023 16:00:00,133.26
11/9/2023 16:00:00,131.69
11/10/2023 16:00:00,134.06
11/13/2023 16:00:00,133.64
11/14/2023 16:00:00,135.43
11/15/2023 16:00:00,136.38
11/16/2023 16:00:00,138.7
11/17/2023 16:00:00,136.94
11/20/2023 16:00:00,137.92
11/21/2023 16:00:00,138.62
11/22/2023 16:00:00,140.02
11/24/2023 13:05:00,138.22
11/27/2023 16:00:00,138.05
11/28/2023 16:00:00,138.62
11/29/2023 16:00:00,136.4
11/30/2023 16:00:00,133.92
12/1/2023 16:00:00,133.32
12/4/2023 16:00:00,130.63
12/5/2023 16:00:00,132.39
12/6/2023 16:00:00,131.43
12/7/2023 16:00:00,138.45
12/8/2023 16:00:00,136.64
12/11/2023 16:00:00,134.7
12/12/2023 16:00:00,133.64
12/13/2023 16:00:00,133.97
12/14/2023 16:00:00,133.2
12/15/2023 16:00:00,133.84
12/18/2023 16:00:00,137.19
12/19/2023 16:00:00,138.1